name,latitude,longitude,description
꿍냐우,37.27652188,127.0508176,고퀄식당
내가찜한닭,37.27884361,127.0432837,식당
사랑집,37.2599492,127.0442398,식당
제일찌개백반,37.27873507,127.0429393,식당
미스터쉐프,37.27919536,127.0428388,식당
감성뼈다귀,37.2782944,127.0425796,식당
도담도담치킨,37.2791859,127.0422696,식당
도이라멘,37.2782134,127.0500106,식당
츠츠,37.2787197,127.0510158,고퀄식당
면식당,37.2789843,127.0429416,식당
카탈로그,37.2789843,127.0429416,작업공간
도해,37.2785149,127.0432543,작업공간
스타벅스,37.27965127,127.0433873,작업공간
모서리다방,37.27884416,127.0430152,작업공간
굿커피,37.2790174,127.0435094,작업공간
몽마르니,37.2792056,127.0434478,작업공간
온앤온,37.27849412,127.0424845,작업공간
한조카츠,37.2788972,127.0421194,고퀄식당
우만동족발,37.2782348,127.0432186,고퀄식당
오뚜기,37.27803706,127.0441095,카페&디저트
쿠츠,37.27804174,127.0448263,카페&디저트
오디디오,37.2782899,127.0452113,카페&디저트
데이라잇,37.27833183,127.0454336,카페&디저트
설빙,37.27852491,127.0447646,카페&디저트
카페 안녕,37.27760732,127.0444352,카페&디저트
화이트스노우,37.2779969,127.0441121,카페&디저트
듀쿠플,37.27866392,127.0452825,카페&디저트
춘리마라탕,37.27679028,127.0441327,식당
소고,37.27879883,127.0447481,고퀄식당
무교동낙지,37.2786479,127.0447698,식당
S-POT,37.27852491,127.0447646,식당
오남매 칼국수,37.277533,127.0497176,식당
일호선,37.27542285,127.0453577,술집
4호선,37.27542285,127.0453577,술집
쉐프의 포차,37.27525725,127.0453148,술집
동막골,37.27541892,127.0450177,술집
옥집,37.27534324,127.0454691,술집
키아마루아지,37.27616775,127.042659,식당
태화장,37.27616775,127.042659,식당
평창옛장터,37.27599581,127.0427284,식당
권육회,37.2777596,127.0448593,술집
향원 마라탕,37.27848762,127.0432648,식당
